tweet,tweet_length,cleaned_tweet,topic,sentiment
Jalebi ki factory aur toilet seat par tax.!!!!!!!!,50.0,jalebi ki factory aur toilet seat par tax,Economy,Neutral
कांग्रेसी बबर शेरो अपने Tiger 🐅 से पूछो कि ये मामला क्या है ? वोटरों से ताक़ीद है किः हर कांग्रेसी से पूछे कि ‘Toilet Tax’ तो नहीं लोगों के उपर थोपेंगे ? हिमाचल प्रदेश में कांग्रेस सरकार ने Toilet Tax खटा-खट ठोक दिया है… ऐक ज़माने में कांग्रेसियों ने ‘चुलहा टैक्स’ लगाया था…🙄,275.0,tiger                    toilet tax              toilet tax,Economy,Neutral
What do you say about Zakir Naik's visit to Pak. Are you ready to promise he will be eliminated for hate speeches against Hindus. Will Mr Hooda ensure that all Hindus &amp; Sikhs are safe in Haryana. I appeal everyone to vote judiciously tomorrow.यह दुकान सिर्फ़ Naik जैसों के लिए है,283.0,what do you say about zakir naiks visit to pak are you ready to promise he will be eliminated for hate speeches against hindus will mr hooda ensure that all hindus amp sikhs are safe in haryana i appeal everyone to vote judiciously tomorrow   naik,Politics,Negative
#HariyanaElection2024,21.0,hariyanaelection,Politics,Neutral
Democracy has ended in India officially -Haryana election results are proof.,76.0,democracy has ended in india officially haryana election results are proof,Politics,Neutral
Please dont vote congress we telagana people are suffering🙏save your State form congress before you vote just call any of you friends in telagana,145.0,please dont vote congress we telagana people are sufferingsave your state form congress before you vote just call any of you friends in telagana,Politics,Neutral
People of Haryana Just see Telagana news and vote congress,58.0,people of haryana just see telagana news and vote congress,Politics,Neutral
Dont Vote congress,18.0,dont vote congress,Politics,Neutral
"Please dont vote congress and dont bely congress ,just see conditions in our state Telangana and vote for congress dont believe Rahul promises",142.0,please dont vote congress and dont bely congress just see conditions in our state telangana and vote for congress dont believe rahul promises,Politics,Neutral
What this? Kavee Sammelan or Vote Baaji?,40.0,what this kavee sammelan or vote baaji,Politics,Neutral
Uncle the dunki route also costs in lacs but I guess you don't use logic. But I salute your capabilities to find Indian gareeb victims in any part of the world. Just elections should be around the corner. 🫡🫡,207.0,uncle the dunki route also costs in lacs but i guess you dont use logic but i salute your capabilities to find indian gareeb victims in any part of the world just elections should be around the corner,Politics,Neutral
Haryana assembly elections Congress Jeetegi,43.0,haryana assembly elections congress jeetegi,Politics,Neutral
Congress Haryana me Government bnane ja rhi hai..,49.0,congress haryana me government bnane ja rhi hai,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
